id,its,E,S,K,W,Rc,readiness,ceiling,current,coupled,conv,net,labor_b,VHPRLD
W3.7,69.5,3.88,2.33,4.0,4.0,2,0.8,32,1.0,True,High,Mixed,50.0,520313
W5.1,58.8,1.82,4.24,1.84,4.0,4,0.37,32,0.4,True,High,Mixed,700.0,523113
W5.5,54.6,1.37,3.13,2.3,4.0,4,0.46,20,1.0,True,High,Mixed,150.0,432112
P2,54.6,1.8,4.53,1.84,3.0,4,0.37,32,0.7,True,High,Mixed,1050.0,523123
W1.2,53.5,3.91,3.13,4.0,1.0,4,0.8,32,0.7,True,Medium,Compression,150.0,520142
W2.7,49.6,3.17,2.33,3.5,0.0,4,0.7,32,3.0,True,High,Compression,50.0,510151
W3.6,49.0,1.73,3.13,2.8,2.0,4,0.56,20,0.2,True,High,Mixed,150.0,410133
W1.4,48.3,1.9,2.96,3.2,2.0,3,0.64,20,1.0,True,High,Compression,120.0,420233
W5.3,48.2,0.86,5.0,1.47,3.0,4,0.29,20,1.2,True,High,Compression,2000.0,423123
W5.4,47.9,2.78,3.13,2.87,2.0,4,0.57,32,1.0,True,Medium,Mixed,150.0,511133
W6.5,47.3,0.6,4.0,1.01,4.0,4,0.2,20,1.0,True,High,Mixed,500.0,434112
SA.4,47.1,2.23,3.84,3.6,0.0,4,0.72,20,0.2,True,High,Mixed,400.0,430152
W1.3,46.8,1.96,3.33,3.2,2.0,2,0.64,20,0.4,True,High,Compression,200.0,420333
W6.6,44.0,0.44,3.84,0.45,4.0,4,0.09,32,1.0,True,High,Expansion,400.0,535114
P1,44.0,0.53,5.0,0.9,3.0,4,0.18,20,1.2,True,High,Compression,4200.0,424124
SA.5,41.9,1.48,3.13,2.62,1.0,4,0.52,20,2.0,True,High,Compression,150.0,421144
W8.2,41.5,0.52,1.16,3.0,3.0,4,0.6,12,1.0,False,High,Expansion,10.0,340123
W4.6,41.1,2.78,2.46,2.87,3.0,0,0.57,32,1.0,True,Medium,Mixed,60.0,511525
W1.1a,40.7,1.13,4.29,3.6,0.0,4,0.72,20,0.0,False,High,Expansion,750.0,430153
W1.7,40.7,1.9,3.63,3.2,1.0,4,0.64,20,1.0,True,Medium,Compression,300.0,420142
W11.1,40.1,1.9,4.0,3.2,3.0,0,0.64,20,1.0,True,Medium,Compression,500.0,420524
W4.2,40.1,1.99,3.63,3.2,1.0,1,0.64,20,0.1,True,High,Mixed,300.0,420443
W5.2,39.5,1.09,4.13,1.12,3.0,4,0.22,32,1.0,True,Medium,Mixed,600.0,524124
W1.5,38.5,2.14,2.83,3.6,2.0,1,0.72,20,1.0,True,Medium,Compression,100.0,430434
W1.6,38.5,1.96,2.76,3.2,2.0,2,0.64,20,0.4,True,Medium,Compression,90.0,420334
W3.1,38.3,0.2,3.92,2.1,2.0,4,0.42,12,9.0,True,High,Mixed,450.0,310134
W5.6,37.8,0.6,4.0,1.01,4.0,3,0.2,20,1.0,True,Medium,Expansion,500.0,434214
